Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,edge,0.0036,700,0.7316
1.8,edge,0.0036,1000,0.7277
1.8,edge,0.0036,1300,0.7311
1.8,edge,0.0036,1600,0.7307
1.8,edge,0.0036,1900,0.7262
1.8,edge,0.0036,2100,0.7328
1.8,edge,0.0036,2400,0.7280
1.8,edge,0.0036,2700,0.7316
1.8,edge,0.0036,3000,0.7317
1.8,edge,0.0040,100,0.0000
1.8,edge,0.0040,400,0.6827
1.8,edge,0.0040,700,0.7298
1.8,edge,0.0040,1000,0.7243
1.8,edge,0.0040,1300,0.7247
1.8,edge,0.0040,1600,0.7250
1.8,edge,0.0040,1900,0.7266
1.8,edge,0.0040,2100,0.7249
1.8,edge,0.0040,2400,0.7315
1.8,edge,0.0040,2700,0.7310
1.8,edge,0.0040,3000,0.7331
1.8,pixel,0.0000,100,0.9151
1.8,pixel,0.0000,400,0.9271
1.8,pixel,0.0000,700,0.9361
1.8,pixel,0.0000,1000,0.9434
1.8,pixel,0.0000,1300,0.9436
1.8,pixel,0.0000,1600,0.9439
1.8,pixel,0.0000,1900,0.9423
1.8,pixel,0.0000,2100,0.9491
1.8,pixel,0.0000,2400,0.9396
1.8,pixel,0.0000,2700,0.9393
1.8,pixel,0.0000,3000,0.9451
1.8,pixel,0.0100,100,0.4374
1.8,pixel,0.0100,400,0.6833
1.8,pixel,0.0100,700,0.8523
1.8,pixel,0.0100,1000,0.8543
1.8,pixel,0.0100,1300,0.8615
1.8,pixel,0.0100,1600,0.8612
1.8,pixel,0.0100,1900,0.8487
1.8,pixel,0.0100,2100,0.8549
1.8,pixel,0.0100,2400,0.8616
1.8,pixel,0.0100,2700,0.8563
1.8,pixel,0.0100,3000,0.8632
1.8,pixel,0.0200,100,0.3999
1.8,pixel,0.0200,400,0.7837
1.8,pixel,0.0200,700,0.7886
1.8,pixel,0.0200,1000,0.8204
1.8,pixel,0.0200,1300,0.7958
1.8,pixel,0.0200,1600,0.8002
1.8,pixel,0.0200,1900,0.8365
1.8,pixel,0.0200,2100,0.8368
1.8,pixel,0.0200,2400,0.8390
1.8,pixel,0.0200,2700,0.8453
1.8,pixel,0.0200,3000,0.8482
1.8,pixel,0.0300,100,0.3050
1.8,pixel,0.0300,400,0.7173
1.8,pixel,0.0300,700,0.7609
1.8,pixel,0.0300,1000,0.7471
1.8,pixel,0.0300,1300,0.7699
1.8,pixel,0.0300,1600,0.7508
1.8,pixel,0.0300,1900,0.7755
1.8,pixel,0.0300,2100,0.7499
1.8,pixel,0.0300,2400,0.7492
1.8,pixel,0.0300,2700,0.7725
1.8,pixel,0.0300,3000,0.7707
1.8,pixel,0.0400,100,0.0000
1.8,pixel,0.0400,400,0.6984
1.8,pixel,0.0400,700,0.7216
1.8,pixel,0.0400,1000,0.7257
1.8,pixel,0.0400,1300,0.7207
1.8,pixel,0.0400,1600,0.7240
1.8,pixel,0.0400,1900,0.7234
1.8,pixel,0.0400,2100,0.7258
1.8,pixel,0.0400,2400,0.7257
1.8,pixel,0.0400,2700,0.7277
1.8,pixel,0.0400,3000,0.7290
1.8,pixel,0.0500,100,0.0000
1.8,pixel,0.0500,400,0.6981
1.8,pixel,0.0500,700,0.7244
1.8,pixel,0.0500,1000,0.7313
1.8,pixel,0.0500,1300,0.7325
1.8,pixel,0.0500,1600,0.7316
1.8,pixel,0.0500,1900,0.7235
1.8,pixel,0.0500,2100,0.7220
1.8,pixel,0.0500,2400,0.7273
1.8,pixel,0.0500,2700,0.7292
1.8,pixel,0.0500,3000,0.7277
1.8,pixel,0.0600,100,0.0000
1.8,pixel,0.0600,400,0.7096
1.8,pixel,0.0600,700,0.7228
1.8,pixel,0.0600,1000,0.7237
1.8,pixel,0.0600,1300,0.7274
1.8,pixel,0.0600,1600,0.7288
1.8,pixel,0.0600,1900,0.7324
1.8,pixel,0.0600,2100,0.7304
1.8,pixel,0.0600,2400,0.7298
1.8,pixel,0.0600,2700,0.7314
1.8,pixel,0.0600,3000,0.7302
1.8,pixel,0.0700,100,0.0000
1.8,pixel,0.0700,400,0.7055
1.8,pixel,0.0700,700,0.7287
1.8,pixel,0.0700,1000,0.7254
1.8,pixel,0.0700,1300,0.7241
1.8,pixel,0.0700,1600,0.7331
1.8,pixel,0.0700,1900,0.7309
1.8,pixel,0.0700,2100,0.7264
1.8,pixel,0.0700,2400,0.7275
1.8,pixel,0.0700,2700,0.7337
1.8,pixel,0.0700,3000,0.7281
1.8,pixel,0.0800,100,0.0000
1.8,pixel,0.0800,400,0.6932
1.8,pixel,0.0800,700,0.7158
1.8,pixel,0.0800,1000,0.7260
1.8,pixel,0.0800,1300,0.7263
1.8,pixel,0.0800,1600,0.7271
1.8,pixel,0.0800,1900,0.7294
1.8,pixel,0.0800,2100,0.7281
1.8,pixel,0.0800,2400,0.7268
